bowler,Non_Boundary_Balls,Wicket_Balls,Death_Balls,Non_Boundary_at_Death%,Wicket_at_Death%
A Nortje,124,11,147,84.35374149659864,7.482993197278912
AD Russell,176,26,241,73.02904564315352,10.78838174273859
AJ Tye,98,14,130,75.38461538461539,10.76923076923077
Arshdeep Singh,157,19,188,83.51063829787235,10.106382978723405
Avesh Khan,147,15,190,77.36842105263158,7.894736842105263
B Kumar,224,20,292,76.71232876712328,6.8493150684931505
CH Morris,127,22,155,81.93548387096774,14.193548387096774
DJ Bravo,297,34,373,79.62466487935657,9.115281501340483
DL Chahar,94,12,109,86.23853211009174,11.009174311926605
HV Patel,199,29,250,79.6,11.6
JC Archer,156,18,195,80.0,9.23076923076923
JD Unadkat,118,13,171,69.00584795321637,7.60233918128655
JJ Bumrah,340,35,402,84.57711442786069,8.706467661691542
JO Holder,129,21,157,82.1656050955414,13.375796178343949
K Rabada,234,42,300,78.0,14.0
KK Ahmed,87,11,115,75.65217391304348,9.565217391304348
M Prasidh Krishna,184,18,252,73.01587301587301,7.142857142857143
Mohammed Shami,198,35,262,75.57251908396947,13.358778625954198
Mohammed Siraj,174,18,227,76.65198237885463,7.929515418502203
Mustafizur Rahman,122,12,166,73.49397590361446,7.228915662650603
S Kaul,145,15,185,78.37837837837837,8.108108108108109
SM Curran,97,14,129,75.1937984496124,10.852713178294573
SN Thakur,241,22,316,76.26582278481013,6.962025316455696
T Natarajan,139,15,192,72.39583333333333,7.8125
TA Boult,220,26,293,75.08532423208192,8.873720136518772
TG Southee,101,11,129,78.29457364341086,8.527131782945736
